sent,Given_label,Predicted_label
Now can you inform me about my active reminders mm,Not Found,my active reminders
Call every 5minute till 3:30am on 22 Nov,Call,Not Found
PleaSe put a reminder today for 11 45,put a reminder today for 11 45,put a
Why do i get a good morning call at 10.30 pm these days?,Not Found,get a good morning call
remind me today at 6 pm to watch tensport .,watch tensport,watch tensport
Hii remind me to watch TV at 7.30,watch TV,watch TV
Remind me to tune on channel 166 at 6:25 pm today,tune on channel 166,tune on channel
Please remind me to put my towel in my bag at 7pm Today.,put my towel in my bag,put my towel
Remind me to transfer money,transfer money,transfer money
Study reminder,Not Found,Not Found
Remind me to transfer amount to my friends account today night itself,transfer amount to my friends account,transfer amount
the reminder for 24 is saumik s post cheque,saumik s post cheque,is saumik s post cheque
Set alarm for 10:30 Am for today's date,Not Found,Set alarm
Can you change my reminder time to 1:58,Not Found,change my time
Yaaaa so kindly remind me,Not Found,Not Found
remind me about my friend's marriage. it's on 1st Dec.,my friend's marriage. it's on 1st Dec,my friend
Call me at 5.00 am,Call me,Not Found
And one reminder,Not Found,Not Found
Call i wld like by 1pm!!,Call i wld like,Call i
Remind me to order coffee today 1pm,order coffee,order coffee
Remind me to go to CA at 6 pm today,go to CA,Not Found
can you remind me about me to study at 6:30 pm today,study,Not Found
Remind me to wash my socks tomorrow,wash my socks,wash my socks
Remind me to study physiology tomorrow at 4 pm,study physiology,study physiology
remind me to talk to rajat at morning 10am,talk to rajat,rajat at morning
But what abt the details... What type of reminder is it?,But what abt the details... What type of reminder,abt the details
Plzzz set alarm for 9:15,Not Found,set alarm
Remind me for Dr. Kavthale appointment on 12 January,Dr. Kavthale appointment,me for Dr. Kavthale appointment
Remind me to send price list to Niky techno zone tomorrow at 11.45am,send price list to Niky techno zone,send price list
Horoscope reminder of Capricorn everyday at 9am,Capricorn,of Capricorn everyday
Remind me on 6:30 pm to carry my pills in my backpack,carry my pills,carry my pills
Hi can you remind me to pick up my clothes from the laundry today b evening,pick up my clothes from the laundry,from the laundry
Alarm for 5pm today,Not Found,Not Found
I need a reminder at 10am,Not Found,need a
Can u remind me on 6:17 pm today ?,Not Found,Not Found
Plz remind meri today call at 9:30pm,Not Found,Plz meri
Hey I need to set a reminder,Not Found,set a
Remind me tomorrow to give Adira diary,give Adira diary,give Adira diary
Remind me for a cab tomorrow at 11am,a cab,me for a cab
Call me now,Not Found,Not Found
Please deactivate the above reminder,Not Found,deactivate the above
Hi.. Remind me about uploading document and charging my mobile,uploading document and charging my mobile,charging my mobile
Remind me tomorrow at 10 am,Not Found,Not Found
"Please remind me tomorrow , need to place orders for my brand bare leisure. Official work.",need to place orders for my brand bare leisure. Official work,my brand bare leisure
I need second reminder,Not Found,need second
Remind me to edit calendar arts ilaksha,edit calendar arts ilaksha,edit calendar arts ilaksha
Tomorrow at 2 pm reminder,Not Found,Not Found
Set my alarm by 9pm,Not Found,my alarm
One more reminder i want,Not Found,more i
Remind today at 6 pm,Not Found,Not Found
Can you remind me at 11.45 am that I have 3 classes and I have to pack my bags today,I have 3 classes and I have to pack my bags,pack my bags
How will u remind me ??,How,Not Found
One minute i want to set,Not Found,minute i
presentation done please remind me for the next task,presentation done,me for the next task
Just remind ne after 8 minutes,Not Found,Not Found
I wana set one more reminder..,Not Found,more reminder..
"Rudra Pooja tomorrow at 5pm , please remind",Rudra Pooja,Rudra Pooja
I want cloths for my ring ceremony,Not Found,my ring ceremony
Remind me to have my sex pills,have my sex pills,have my sex pills
remind me on 4th on second month to do hair spa time will be 6Pm.,do hair spa time,on second month
Remind me today at 6pm about citibank credit card payment,citibank credit card payment,about citibank credit card payment
U only call when I m online,U only call,Not Found
plz remind me to take my pen card 2moro,take my pen card 2moro,take my pen card
Remind me on November 14 evening 6.00pm ...on that day I have to see the moon....okay,see the moon....okay,me on November
Actually there is a slight change in that reminder,there is a slight change,is a slight change
"Remind me to make entry in passbook, get files home visit exhibition",make entry and get files home visit exhibition,make entry
Remind me to research about new Zealand,research about new Zealand,about new Zealand
Remind me abt RTI at 7 PM,abt RTI,me abt RTI
A reminder for workout as well,workout,for workout
Kamalesh please set alarm today morning 9.30 am to 10.00 am ... every 5 minutes in between ☺☺,Not Found,set alarm morning
7568721088,Not Found,Not Found
26th of this month I have ESD third internal .. Plz remind me before two days till 26th everyday..,ESD third internal .. Plz,third internal .. Plz
Call me 10mins before i reach porur tollbooth,Not Found,reach porur tollbooth
Remind me at 8:00 pm today for Watching News,Watching News,Watching News
Remind me to make a collage of my previous pics and frame it down !! Also one full size pic with my recent picture !! Remind this at 14.00 hrs 2 Jan 2017,make a collage of my previous pics and frame it down !! Also one full size pic with my recent picture !! Remind,make a collage
Tomorrow plz remind me to go to colg for a session ...by 9:00am,go to colg for a session ...,colg for a session
U remember me,Not Found,Not Found
Hi Shruti.... How would you remind me... In ways of alarm?!,Not Found,Hi Shruti
Set for me,Not Found,Not Found
Can u remind me to walk / move every 30 min,walk / move,walk / move
Make me reminder,Not Found,Not Found
Remind me tomorrow at 4.0pm to make my daily time table,make my daily time table,make my daily time table
Call me at 5:00 pm sharp,Not Found,Not Found
Hello I want to make a reminder,Not Found,make a
That reminder was for what?,was for what?,Not Found
Do i have any reminder from now?,Not Found,Do i
You gotta remind me at 11.55,Not Found,Not Found
Can you set reminder for 26 Dec for mobile recharge validity expire,26 Dec for mobile recharge validity expire,for mobile recharge validity expire
What tym did u remind me,Not Found,Not Found
Reminder to book a ticket on Saturday,book a ticket,a ticket
A reminder on 26th to pay insurance premium,pay insurance premium,pay insurance premium
Does the reminder works only when the net is on??,when the net,Does the
Remind me in about 15 minutes to book a tatkal ticket,book a tatkal ticket,a tatkal ticket
Remind me in 5 min for going at shop,going,going at shop
Remind me to prepare of AIIMS counselling which is tomorrow.,prepare of AIIMS counselling which,prepare of AIIMS
Also remind me to cut nails before meeting,cut nails and meeting,cut nails
Remind me on 10 th Jan at 11 am Have to go to pune passport office,Have to go to pune passport office,pune passport office
I want a reminder scheduled for 08:00AM everyday.,Not Found,want a
Thank u for ur unstoppable reminders.,ur unstoppable reminders,for ur unstoppable reminders
I am with him thank you for reminding,him thank you for reminding,Not Found
Is it possible to blow alarm during reminder?,possible to blow alarm,blow alarm
Hi good morning.Thanks for reminding me..,Not Found,good morning.Thanks
"Morning. Sure, give me 15mins",give me 15mins,Not Found
Remind me at six pm today to meet my manager,meet my manager,meet my manager
I wanna set a reminder,Not Found,set a
Can u tell me my whole schedule,Not Found,my whole schedule
Can u plz remind me the same on 14th dec at 11 pm,same on 14th dec,u plz
Are srijan yar reminder to read book kidhar hai,read book kidhar hai,read book kidhar
You haven't reminded me,Not Found,Not Found
4:00 pm,Not Found,Not Found
Remind me this at this time day after tomorrow,Not Found,at this time day
Yesterday igave,Not Found,Not Found
Please remind me to give Supriya's treatment to VC at 12 pm today,give Supriya's treatment to VC,give Supriya
set a reminder,Not Found,set a
Hi please please please remind me on 4:24pm on today,Not Found,Hi please
Set reminder for every day.,Not Found,for every day
Nalaiku 8ku ..plz remind me,Not Found,Not Found
Thank you ..,Not Found,Not Found
Set one reminder for goto market for buy shoes....,goto market and buy shoes,for goto market
Remind me to complete saon's album,complete saon's album,complete saon
Please set the reminder for 8 glasses per day,8 glasses per day,set the
"Set a reminder ""All the best sruthi"" Today at this number 8870086265 at 6:30 am",All the best sruthi,the best sruthi
"Remind me by 10pm today to download ""Baptized workers on a sacred mission""","download ""Baptized workers on a sacred mission",on a sacred mission
Also remind me fr class at 830,class,me fr class
Remind me only tomorrow sharp at 8.15am about anurup s oshud,anurup s oshud,about anurup s
Remind me the same tomorrow 1 pm,Not Found,me the same
I will do it after one hour. Please remind me at 11 PM today.,Not Found,Not Found
24 dec 12 noon remind maya about doctor,doctor,noon maya
Please remind me to go for dr. Fakhruddin daughter marriage at 8pm today.,go for dr. Fakhruddin daughter marriage,go for dr. Fakhruddin daughter marriage
Set reminder to pay yoga fees at 4.15 pm,pay yoga fees,pay yoga fees
remind me to take photocopy of govt id proofs,take photocopy of govt id proofs,of govt id proofs
You'd already reminded! Its past 9 now,Not Found,Not Found
Thnx for remainder,Not Found,for remainder
Remind me every 3 hours,Not Found,Not Found
You need to schedule my daily needs for about a month,my daily needs for about a month,schedule my daily needs
Ab ye reminder band kaise karu?,band kaise karu,band kaise karu
Reminder in saturday 9.3 for bliss,bliss,for bliss
